name,country
Aberdeen,UK
Abidjan,Ivory Coast
Accra,Ghana
Addis Abeba,Ethiopia
Aden,Yemen
Agrigento,Italy
Albany,US
Algiers,Algeria
Amman,Jordania
Amsterdam,Netherlands
Andorra,Andorra
Los Angeles,US
Antwerpen,Belgium
Athinai,Greece
Barcelona,Spain
Beijing,China
Berlin,Germany
Bern,Switzerland
Bilbao,Spain
Birmingham,UK
Bombay,India
Bonn,Germany
Boston,US
Brasilia,Brazil
Bristol,UK
Bruxelles,Belgium
Buenos Aires,Argentina
Cairo,Egypt
Calcutta,India
Calgary,Canada
Chicago,US
Cleveland,US
Dallas,US
Delhi,India
Denver,US
Dortmund,Germany
Dublin,Ireland
Edinburgh,UK
Edmonton,Canada
Eindhoven,Netherlands
Eisenach,Germany
Frankfurt/Main,Germany
Frankfurt/Oder,Germany
Gent,Belgium
Glasgow,UK
Groningen,Netherlands
Hamburg,Germany
Hammerfest,Norway
Heidelberg,Germany
Helsinki,Finland
Honolulu,US
Jakarta,Indonesia
Kiew,Russia
Kyoto,Japan
Leningrad,Russia
Lisboa,Portugal
London,UK
Luxembourg,Luxembourg
Lyon,France
Madrid,Spain
Marseille,France
Minneapolis,US
Montreal,Canada
Moskwa,Russia
Muenchen,Germany
Nagoya,Japan
Napoli,Italy
New York,US
Osaka,Japan
Oslo,Norway
Ottawa,Canada
Paris,France
Rimini,Italy
Rio de Janeiro,Brazil
Roma,Italy
Rotterdam,Netherlands
San Francisco,US
Sao Paolo,Brazil
Shanghai,China
Singapore,Singapore
Sofia,Bulgaria
Stockholm,Sweden
Tokyo,Japan
Torino,Italy
Toronto,Canada
Utrecht,Netherlands
Warszawa,Poland
Washington DC,US
Yokohama,Japan
Zagreb,Croatia
Zurich,Switzerland
Bahia Bianca,Argentina
Liege,Belgium
Vitoria,Brazil
Campinas,Brazil
Recife,Brazil
Vancouver,Canada
Hamilton,Canada
Saskatoon,Canada
Basel,Switzerland
Aachen,Germany
Bayreuth,Germany
Biberach an der Riss,Germany
Bielefeld,Germany
Bochum,Germany
Braunschweig,Germany
Darmstadt,Germany
Freiburg,Germany
Giessen,Germany
Goettingen,Germany
Halle/Saale,Germany
Hannover,Germany
Homburg,Germany
Jena,Germany
Juelich,Germany
Karlsruhe,Germany
Koeln,Germany
Ludwigshafen,Germany
Mainz,Germany
Marburg,Germany
Oldenburg,Germany
Osnabrueck,Germany
Regensburg,Germany
Saarbruecken,Germany
Stolberg,Germany
Stuttgart,Germany
Tuebingen,Germany
Ulm,Germany
Wuppertal,Germany
Wuerzburg,Germany
Aarhus,Denmark
Kobenhavn,Denmark
Odense,Denmark
Alcala de Henares,Spain
Granada,Spain
Murcia,Spain
Zaragoza,Spain
Tartu,Estonia
Turku,Finland
Grenoble,France
Lille,France
Strasbourg,France
Toulouse,France
Tours,France
Thessaloniki,Greece
Chandigarh,India
New Delhi,India
Genova,Italy
Milano,Italy
Modena,Italy
Parma,Italy
Pavia,Italy
Trieste,Italy
Udine,Italy
Verona,Italy
Tel Aviv,Israel
Bologna,Italy
Cagliari,Italy
Aomori,Japan
Chiba,Japan
San Antonio,US
Hirosaki,Japan
Sapporo,Japan
Riga,Latvia
Cuernavaca,Mexico
Mexico,Mexico
Bergen,Norway
Trondheim,Norway
Dunedin,New Zealand
Torun,Poland
Seattle,US
Porto,Portugal
Goteborg,Sweden
Helsingborg,Sweden
Uppsala,Sweden
Taipei,Taiwan
Tainan,Taiwan
Hualien,Taiwan
Kaohsiung,Taiwan
Leicester,UK
Oxford,UK
Southampton,UK
Swansea,UK
Birmingham,US
Little Rock,US
Berkeley,US
Palo Alto,US
Pasadena,US
Riverside,US
Madison,US
Longmont,US
New Haven,US
Wilmington,US
Tampa,US
Ames,US
Iowa City,US
Urbana,US
West Lafayette,US
Cambridge,US
Shrewsbury,US
Baltimore,US
Bethesda,US
College Park,US
Frederick,US
Rockville,US
Columbia,US
Minneapolis,US
Omaha,US
Newark,US
Piscataway,US
Princeton,US
Rahway,US
Ithaca,US
Rochester,US
Bowling Green,US
Cincinnati,US
Columbus,US
Eugene,US
Philadelphia,US
Pittsburgh,US
Memphis,US
Austin,US
College Station,US
Galveston,US
Houston,US
